Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"Gambia, The",GMB,19.44402271,..,16.23494603,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Georgia,GEO,..,10.35734089,25.18242763,23.86353506,25.16309307,25.73901108,24.58566285,24.5481367,24.73551428,24.34198286,24.99668534,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Germany,DEU,24.50206151,29.71972331,28.54699465,27.70912304,28.08702536,28.29526586,28.26539855,28.34607004,28.14738883,28.13880186,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Ghana,GHA,..,..,..,17.45518639,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Greece,GRC,23.86489904,41.46841028,37.84171164,40.08689991,42.75055828,45.1188477,47.52392346,45.220862,46.72059116,48.70743888,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Grenada,GRD,..,21.55514081,19.2948075,19.93066469,20.24892138,19.69133457,19.21794097,20.41091643,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Guatemala,GTM,7.879434046,10.15445641,10.87080568,11.07083504,11.39927571,11.46988024,11.48953099,11.43307922,10.80593498,11.00620979,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Honduras,HND,..,..,20.42036453,20.55492071,20.89513057,21.18690682,22.33794308,23.11343354,23.36315517,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Hungary,HUN,..,38.03016373,39.96459512,38.62350002,37.76346021,39.9428527,39.77325809,39.97618418,40.46319074,40.77409218,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Iceland,ISL,28.81602104,32.45945895,27.59139275,28.50102499,28.58603478,29.93625711,30.5391764,33.56384144,30.61494615,46.47000422,..,..
