Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Georgia,GEO,..,69.93811395,34.61145177,36.79972018,32.45976156,32.53069811,33.92066092,35.37848961,41.28222523,44.38256526,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Germany,DEU,21.01008292,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Grenada,GRD,..,40.63755813,81.10422177,85.46761794,91.38824689,93.28872986,91.41635506,88.54091538,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Guatemala,GTM,24.48068514,16.98382301,23.01723398,24.41978694,24.16258981,24.31127359,24.80987234,23.29707271,22.98814109,22.11507082,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Honduras,HND,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Hungary,HUN,..,60.68624039,80.33215559,80.97702743,90.17954394,93.85804152,94.09882813,98.17001027,97.01523506,97.47908545,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Iceland,ISL,30.36419693,58.90095612,98.57521282,105.2911968,112.5110068,111.744605,..,..,..,74.66588762,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,India,IND,51.46983385,55.74789358,56.0054596,52.18357187,51.55655366,50.67803056,50.31182736,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Indonesia,IDN,45.74145233,..,29.99730638,26.16615928,24.86514467,25.03440084,27.78192722,27.4216122,30.30912614,31.35343468,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Iraq,IRQ,..,..,..,..,..,..,..,..,25.73687228,28.79220758,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Ireland,IRL,..,38.902568,66.69845247,82.67592376,111.7441254,129.7542343,131.1138409,121.4683097,88.79075024,83.63407678,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Israel,ISR,138.904882,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Jamaica,JAM,138.7413276,98.33415571,134.6787698,136.2243349,133.9784598,137.9346699,135.9005631,132.4271169,124.6687325,122.654912,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Japan,JPN,52.89407055,100.4608833,158.8746295,162.2964066,177.9609429,186.025418,188.881476,194.4280527,197.0374397,195.5197905,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Kazakhstan,KAZ,..,..,..,9.522963251,8.801310072,10.49811385,10.84063915,12.64696963,19.30791606,16.76927586,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,"Korea, Rep.",KOR,7.549859063,..,..,..,..,33.88317034,36.67394361,38.38780171,39.74371068,40.36072333,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,53.88932702,72.45655758,60.47351087,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Liberia,LBR,..,..,..,..,21.73060884,20.84527747,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Luxembourg,LUX,2.434349465,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Madagascar,MDG,109.40921,111.8794614,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Malawi,MWI,..,..,29.27341464,28.03010955,27.42573465,41.42047717,36.25693348,40.63281505,39.54223713,55.15787051,48.65956424,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Malaysia,MYS,79.53661793,..,50.83575538,49.55982307,50.02868164,51.64643162,52.99925192,52.67584873,54.42666591,52.67783838,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Maldives,MDV,30.78233776,40.86440999,46.19355167,54.88541815,57.29812061,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Mali,MLI,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Malta,MLT,46.91169936,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Marshall Islands,MHL,..,..,64.46294363,63.82454351,53.00376312,47.99353816,41.37939464,50.30166889,48.5435339,50.41017543,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Mauritania,MRT,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Mauritius,MUS,39.65035497,32.6834499,36.55647185,36.78737616,35.52041906,36.5088808,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Mexico,MEX,46.62685739,19.06948682,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,"Micronesia, Fed. Sts.",FSM,..,..,25.4705106,24.18899669,25.26685327,27.2082917,26.42078992,23.48327921,30.06761825,25.57416346,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Moldova,MDA,..,73.01886856,27.63222644,26.32298147,23.70905587,24.3259057,23.68758176,24.81008898,25.2940653,37.87150317,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Mongolia,MNG,..,78.41832771,59.50711514,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Morocco,MAR,87.19675998,..,47.50363068,50.96249924,55.62772032,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Namibia,NAM,..,..,15.8082771,16.94497173,23.10569356,20.66286792,23.25586788,23.07576733,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Nepal,NPL,52.62058095,64.57331984,..,33.86252123,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Netherlands,NLD,55.51167162,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,New Zealand,NZL,..,..,31.95908798,34.89877208,48.37522803,51.83434189,46.5579948,44.22193421,43.39557212,42.10135006,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Nicaragua,NIC,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Niger,NER,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Nigeria,NGA,..,..,8.785715255,9.597844146,10.3264867,10.45507695,10.50031319,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,North Macedonia,MKD,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Norway,NOR,19.84703811,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Oman,OMN,19.57978143,..,5.615604156,5.039027852,4.774519562,4.61389765,4.907139037,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Pakistan,PAK,78.7725332,74.03264045,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Palau,PLW,..,..,24.89372226,33.30314607,26.23899892,26.98589927,22.78564268,21.52066571,60.72236357,66.68705444,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Panama,PAN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Papua New Guinea,PNG,48.95325401,57.74153126,..,..,..,..,..,27.07029598,31.4458135,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Paraguay,PRY,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Peru,PER,189.2462856,..,26.40086588,23.68179134,20.72021657,19.21665946,18.39056333,19.31563373,22.56416335,23.21425366,..,..
